"text", "translation"
"チーム競技場でウイニング報酬を\n100回獲得しよう","Earn a reward from winning in the team stadium 100 times"
"うまぴょい伝説を見よう","Watch 'Umapyoi Densetsu'"
"彩 Phantasiaを見よう","Watch 'Irodori Phantasia'"
"Make debut!を見よう","Watch 'Make debut!'"
"ENDLESS DREAM!!を見よう","Watch 'ENDLESS DREAM!!'"
"NEXT FRONTIERを見よう","Watch 'NEXT FRONTIER'"
"UNLIMITED IMPACTを見よう","Watch 'UNLIMITED IMPACT'"
"Special Record!を見よう","Watch 'Special Record!'"
"はじまりのSignalを見よう","Watch 'Hajimari no Signal'"
"ささやかな祈りを見よう","Watch 'Sasayaka na Inori wo'"
"本能スピードを見よう","Watch 'Honnou Speed'"
"winning the soulを見よう","Watch 'winning the soul'"
"ユメヲカケル！を見よう","Watch 'Yume wo Kakeru!'"
"特定の編成でユメヲカケル！を見よう","Watch 'Yume wo Kakeru! (special version)'"
"涙ひかって明日になれ！を見よう","Watch 'Namida hikatte ashita ni nare!'"
"BLAZEを見よう","Watch 'BLAZE'"
"Never Looking Backを見よう","Watch 'Never Looking Back'"
"WINnin’ 5 －ウイニング☆ファイヴ－を\n見よう","Watch 'WINnin’ 5'"
"累計フォロー数25人を達成しよう","Achieve a cumulative total of 25 followers"
"累計フォロー数50人を達成しよう","Achieve a cumulative total of 50 followers"
"累計フォロワー数100人を達成しよう","Achieve a cumulative total of 100 followers"
"累計フォロワー数200人を達成しよう","Achieve a cumulative total of 200 followers"
"代表ウマ娘を他のトレーナーに\n育成で100回使ってもらおう","Have other trainers use your horse girl in training 100 times"
"ウマ娘を15人獲得しよう","Get 15 horse girls"
"ウマ娘を100人獲得しよう","Get 100 horse girls"
"才能開花で10人のウマ娘を★5にしよう","Raise a horse girl to ★5 10 times"
"サポートカードを30種類獲得しよう","Get 30 support cards"
"サポートカードを250種類獲得しよう","Get 250 support cards"
"累積100万マニーためよう","Earn a cumulative 1 million total money"
"累積1000万マニーためよう","Earn a cumulative 10 million total money"
"ストーリーを100種類閲覧しよう","Read 100 stories"
"メインストーリー第1章をすべて見よう","Read the entire Chapter 1 of the Main Story"
"メインストーリー第2章をすべて見よう","Read the entire Chapter 2 of the Main Story"
"メインストーリー第3章をすべて見よう","Read the entire Chapter 3 of the Main Story"
"メインストーリー第4章をすべて見よう","Read the entire Chapter 4 of the Main Story"
"スペシャルウィークの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Special Week's story"
"スペシャルウィークのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Special Week"
"スペシャルウィークのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Special Week"
"スペシャルウィークのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Special Week"
"サイレンススズカの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Silence Suzuka's story"
"サイレンススズカのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Silence Suzuka"
"サイレンススズカのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Silence Suzuka"
"サイレンススズカのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Silence Suzuka"
"トウカイテイオーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Tokai Teio's story"
"トウカイテイオーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Tokai Teio"
"トウカイテイオーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Tokai Teio"
"トウカイテイオーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Tokai Teio"
"マルゼンスキーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Maruzensky's story"
"マルゼンスキーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Maruzensky"
"マルゼンスキーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Maruzensky"
"マルゼンスキーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Maruzensky"
"フジキセキの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Fuji Kiseki's story"
"フジキセキのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Fuji Kiseki"
"フジキセキのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Fuji Kiseki"
"フジキセキのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Fuji Kiseki"
"オグリキャップの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Oguri Cap's story"
"オグリキャップのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Oguri Cap"
"オグリキャップのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Oguri Cap"
"オグリキャップのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Oguri Cap"
"ゴールドシップの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Gold Ship's story"
"ゴールドシップのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Gold Ship"
"ゴールドシップのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Gold Ship"
"ゴールドシップのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Gold Ship"
"ウオッカの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Vodka's story"
"ウオッカのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Vodka"
"ウオッカのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Vodka"
"ウオッカのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Vodka"
"ダイワスカーレットの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Daiwa Scarlet's story"
"ダイワスカーレットのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Daiwa Scarlet"
"ダイワスカーレットのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Daiwa Scarlet"
"ダイワスカーレットのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Daiwa Scarlet"
"タイキシャトルの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Taiki Shuttle's story"
"タイキシャトルのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Taiki Shuttle"
"タイキシャトルのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Taiki Shuttle"
"タイキシャトルのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Taiki Shuttle"
"グラスワンダーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Grass Wonder's story"
"グラスワンダーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Grass Wonder"
"グラスワンダーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Grass Wonder"
"グラスワンダーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Grass Wonder"
"ヒシアマゾンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Hishi Amazon's story"
"ヒシアマゾンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Hishi Amazon"
"ヒシアマゾンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Hishi Amazon"
"ヒシアマゾンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Hishi Amazon"
"メジロマックイーンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Mejiro McQueen's story"
"メジロマックイーンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Mejiro McQueen"
"メジロマックイーンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Mejiro McQueen"
"メジロマックイーンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Mejiro McQueen"
"エルコンドルパサーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of El Condor Pasa's story"
"エルコンドルパサーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for El Condor Pasa"
"エルコンドルパサーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for El Condor Pasa"
"エルコンドルパサーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for El Condor Pasa"
"テイエムオペラオーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of T.M. Opera O's story"
"テイエムオペラオーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for T.M. Opera O"
"テイエムオペラオーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for T.M. Opera O"
"テイエムオペラオーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for T.M. Opera O"
"シンボリルドルフの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Symboli Rudolf's story"
"シンボリルドルフのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Symboli Rudolf"
"シンボリルドルフのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Symboli Rudolf"
"シンボリルドルフのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Symboli Rudolf"
"エアグルーヴの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Air Groove's story"
"エアグルーヴのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Air Groove"
"エアグルーヴのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Air Groove"
"エアグルーヴのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Air Groove"
"セイウンスカイの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Seiun Sky's story"
"セイウンスカイのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Seiun Sky"
"セイウンスカイのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Seiun Sky"
"セイウンスカイのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Seiun Sky"
"マヤノトップガンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Mayano Top Gun's story"
"マヤノトップガンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Mayano Top Gun"
"マヤノトップガンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Mayano Top Gun"
"マヤノトップガンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Mayano Top Gun"
"メジロライアンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Mejiro Ryan's story"
"メジロライアンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Mejiro Ryan"
"メジロライアンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Mejiro Ryan"
"メジロライアンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Mejiro Ryan"
"ライスシャワーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Rice Shower's story"
"ライスシャワーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Rice Shower"
"ライスシャワーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Rice Shower"
"ライスシャワーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Rice Shower"
"アグネスタキオンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Agnes Tachyon's story"
"アグネスタキオンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Agnes Tachyon"
"アグネスタキオンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Agnes Tachyon"
"アグネスタキオンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Agnes Tachyon"
"ウイニングチケットの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Winning Ticket's story"
"ウイニングチケットのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Winning Ticket"
"ウイニングチケットのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Winning Ticket"
"ウイニングチケットのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Winning Ticket"
"ゴールドシチーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Gold City's story"
"ゴールドシチーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Gold City"
"ゴールドシチーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Gold City"
"ゴールドシチーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Gold City"
"サクラバクシンオーの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Sakura Bakushin O's story"
"サクラバクシンオーのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Sakura Bakushin O"
"サクラバクシンオーのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Sakura Bakushin O"
"サクラバクシンオーのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Sakura Bakushin O"
"スーパークリークの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Super Creek's story"
"スーパークリークのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Super Creek"
"スーパークリークのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Super Creek"
"スーパークリークのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Super Creek"
"ハルウララの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Haru Urara's story"
"ハルウララのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Haru Urara"
"ハルウララのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Haru Urara"
"ハルウララのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Haru Urara"
"マチカネフクキタルの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Machikanefukukita's story"
"マチカネフクキタルのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Machikanefukukita"
"マチカネフクキタルのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Machikanefukukita"
"マチカネフクキタルのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Machikanefukukita"
"ナイスネイチャの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Nice Nature's story"
"ナイスネイチャのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Nice Nature"
"ナイスネイチャのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Nice Nature"
"ナイスネイチャのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Nice Nature"
"キングヘイローの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of King Halo's story"
"キングヘイローのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for King Halo"
"キングヘイローのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for King Halo"
"キングヘイローのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for King Halo"
"ミホノブルボンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Mihono Bourbon's story"
"ミホノブルボンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Mihono Bourbon"
"ミホノブルボンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Mihono Bourbon"
"ミホノブルボンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Mihono Bourbon"
"ビワハヤヒデの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Biwa Hayahide's story"
"ビワハヤヒデのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Biwa Hayahide"
"ビワハヤヒデのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Biwa Hayahide"
"ビワハヤヒデのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Biwa Hayahide"
"カレンチャンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Curren Chan's story"
"カレンチャンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Curren Chan"
"カレンチャンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Curren Chan"
"カレンチャンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Curren Chan"
"ナリタタイシンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Narita Taishin's story"
"ナリタタイシンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Narita Taishin"
"ナリタタイシンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Narita Taishin"
"ナリタタイシンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Narita Taishin"
"スマートファルコンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Smart Falcon's story"
"スマートファルコンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Smart Falcon"
"スマートファルコンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Smart Falcon"
"スマートファルコンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Smart Falcon"
"ナリタブライアンの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Narita Brian's story"
"ナリタブライアンのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Narita Brian"
"ナリタブライアンのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Narita Brian"
"ナリタブライアンのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Narita Brian"
"メイショウドトウの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Meisho Doto's story"
"メイショウドトウのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Meisho Doto"
"メイショウドトウのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Meisho Doto"
"メイショウドトウのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Meisho Doto"
"エイシンフラッシュの\nウマ娘ストーリー第4話を見よう","Read chapter 4 of Eishin Flash's story"
"エイシンフラッシュのファン数を\n累計1000万人獲得しよう","Reach 10 million total fans for Eishin Flash"
"エイシンフラッシュのファン数を\n累計5000万人獲得しよう","Reach 50 million total fans for Eishin Flash"
"エイシンフラッシュのファン数を\n累計1億人獲得しよう","Reach 100 million total fans for Eishin Flash"
"イベント期間限定ミッションを\nすべてクリアしよう","Clear all event limited missions"
"タウラス杯で伝説的な成績を残そう","Achieve legendary results in the Taurus Hai"
"タウラス杯で偉大な成績を残そう","Achieve glorious results in the Taurus Hai"
"タウラス杯で輝かしい成績を残そう","Achieve notable results in the Taurus Hai"
"タウラス杯で優れた成績を残そう","Achieve remarkable results in the Taurus Hai"
"ジェミニ杯で伝説的な成績を残そう","Achieve legendary results in the Gemini Hai"
"ジェミニ杯で偉大な成績を残そう","Achieve glorious results in the Gemini Hai"
"ジェミニ杯で輝かしい成績を残そう","Achieve notable results in the Gemini Hai"
"ジェミニ杯で優れた成績を残そう","Achieve remarkable results in the Gemini Hai"
"キャンサー杯で伝説的な成績を残そう","Achieve legendary results in the Cancer Hai"
"キャンサー杯で偉大な成績を残そう","Achieve glorious results in the Cancer Hai"
"キャンサー杯で輝かしい成績を残そう","Achieve notable results in the Cancer Hai"
"キャンサー杯で優れた成績を残そう","Achieve remarkable results in the Cancer hai"
"レオ杯で伝説的な成績を残そう","Achieve legendary results in the Leo Hai"
"レオ杯で偉大な成績を残そう","Achieve glorious results in the Leo Hai"
"レオ杯で輝かしい成績を残そう","Achieve notable results in the Leo Hai"
"レオ杯で優れた成績を残そう","Achieve remarkable results in the Leo Hai"
"URAファイナルズの\nシナリオレコード報酬をすべて獲得しよう","Obtain all URA Finals scenario record rewards"
"アオハル杯の\nシナリオレコード報酬をすべて獲得しよう","Obtain all Aoharu Hai scenario record rewards"
"アオハル杯で優勝しよう","Win the Aoharu Hai"
"アオハル杯でチーム＜キャロッツ＞\nの総合力をSにしよう","Raise team <Carrots> to S rank in the Aoharu Hai"
"アオハル杯でHOP CHEERS\nの総合力をSにしよう","Raise team HOP CHEERS to S rank in the Aoharu Hai"
"アオハル杯でハレノヒ・ランナーズ\nの総合力をSにしよう","Raise team Hare no Hi Runners to S rank in the Aoharu Hai"
"アオハル杯でにんじんぷりん\nの総合力をSにしよう","Raise team Carrot Pudding to S rank in the Aoharu Hai"
"アオハル杯でブルームス\nの総合力をSにしよう","Raise team Blooms to S rank in the Aoharu Hai"
"アオハル杯のURAファイナルズ\n決勝であの２人と競い、優勝しよう","Compete with those two in the URA Finals of the Aoharu Hai and win!"
